reviewerID,reviewerName,review_count,avg_rating,rating_std,min_rating,max_rating,avg_text_length,text_length_std,min_text_length,max_text_length,verified_count,verified_ratio,all_reviews_keywords,top_category,top_category_count,top_style_colors,top_style_sizes,top_style_color_count,top_style_size_count,content_vector,user_idx,dominant_color,dominant_size,interaction_degree,pca_3d_x,pca_3d_y,pca_3d_z
A1181RLJYUA0CS,Katty Gomez,7,3.857142857142857,1.5735915849388862,1.0,5.0,17.571428571428573,18.884359867865463,7,59,7,1.0,perfect normal super nice graet size product broke terrible experience buy beatifull,DDLBiz,2,"['white', 'black', 'gold']","['s', 'l']",3,2,"[-3.7695941e-01 -1.1686175e-01 -3.7234902e-02  7.7701181e-02
  8.1124119e-02  1.3711405e-04 -2.5211586e-02  9.7652622e-02
 -2.2748724e-02 -1.2325825e-02  1.1106806e-02 -1.6939607e-02
  2.2226288e-03  3.4289990e-02  6.7421362e-02 -3.4140162e-02
  1.3013432e-02  1.3497740e-02  1.9483894e-02 -3.8620543e-02
  8.0930389e-02  3.7875343e-02  1.8396920e-02 -3.6114668e-03
  8.4154218e-02  6.3693374e-02  3.1293366e-02 -6.0820688e-02
  3.7058685e-02 -1.7866595e-02 -1.6648030e-02 -2.4172952e-03
  1.6535925e-02 -1.0542586e-02  2.7078451e-03 -7.9814335e-03
 -4.6538174e-02 -3.4773108e-02  2.8103702e-02  1.4480626e-02
 -6.1664465e-03  3.6299311e-02  1.5197335e-02  1.7901603e-02
  3.7799783e-02  3.8517434e-02 -9.0682171e-03 -1.5298024e-02
 -1.9732894e-02  3.8067303e-03 -1.2442143e-02  1.4670811e-02
 -3.1310342e-02  7.0644645e-03 -3.7521992e-02 -2.3135973e-02
 -2.0080410e-02  4.2502150e-02 -1.2122477e-02 -1.9623915e-02
 -2.8399451e-02  2.4536455e-02  1.9681243e-02  5.6331949e-03]",10,white,s,7,0.9554295,0.24497034,-0.416908
A11D1CHIO38I0X,Ann,6,3.0,1.7888543819998317,1.0,5.0,42.5,29.62937731374049,7,87,6,1.0,love one disappointed small fit well like material much even bought another terrible got different,Waltzmart,2,['black'],"['s', 'xl']",1,2,"[-0.10583092 -0.19741099  0.18198748  0.15071516  0.05859883  0.11036775
  0.0336387   0.14629929  0.05212337 -0.0177734  -0.00153744  0.01257836
 -0.05057903  0.00581749 -0.00265179 -0.01259729  0.03502925 -0.01415683
 -0.05048597  0.01423397  0.03157286  0.02000651  0.03252004  0.03422884
  0.0276316   0.03692356 -0.00139101  0.02264646 -0.0348241   0.00345134
  0.01197751  0.0150586   0.00464888  0.00896956 -0.02316001 -0.00187238
 -0.02172039 -0.00803399  0.00490791  0.00887354  0.01533075  0.02081425
 -0.01535496 -0.02175101  0.00915751  0.01354079  0.00764532 -0.00159798
  0.01220735  0.02118875 -0.00572201 -0.00440846 -0.02454838 -0.00749163
  0.00406226  0.03778277  0.00454215  0.01400592  0.00244818  0.03445228
  0.02744246 -0.01729764 -0.02350459  0.02911561]",11,black,s,6,1.0056963,0.13163896,-0.35933813
A11D8CLU9H24YK,Wendy L. Brady,6,5.0,0.0,5.0,5.0,69.0,0.0,69,69,6,1.0,wow comfortable light weight shoes love,,0,[],"['m', 's', 'l']",0,3,"[ 3.25037874e-02  4.13215965e-01  3.86913829e-02 -5.32220528e-02
 -7.06953183e-02  1.93810724e-02  1.05721548e-01  2.71357205e-02
  1.20386565e-02  1.69478096e-02 -1.40738916e-02 -9.18840617e-03
 -3.40721803e-04 -2.01323461e-02  3.66936363e-02 -1.51937804e-03
  6.63033500e-03  3.90302651e-02 -2.04010885e-02 -4.21200916e-02
  7.03178300e-03  6.73730345e-03  3.68453525e-02  3.74722015e-03
 -1.77888572e-02 -1.14809666e-02 -2.41469480e-02 -1.73810087e-02
 -7.56896194e-03  1.93278939e-02 -3.31775722e-04 -3.81402560e-02
 -3.51801515e-02  4.84872609e-02  2.50458121e-02  4.78854356e-03
 -2.61615999e-02  3.97500321e-02 -1.15046576e-02 -3.05816177e-02
 -1.27108570e-03 -3.85764576e-02  5.02353162e-03 -4.88150213e-03
  3.44864950e-02  7.14088511e-03 -9.00284015e-03 -4.49384972e-02
 -1.56999705e-03 -6.46021077e-03  3.57498005e-02 -1.16663110e-02
  3.32781710e-02 -1.85320377e-02 -1.38136186e-02 -2.12434810e-02
 -3.35181095e-02 -3.06499433e-02 -1.79891028e-02 -5.47300205e-02
 -1.47244325e-02  1.87443402e-02 -2.05214806e-02 -6.75521977e-03]",12,unknown,m,6,1.323597,-0.056336675,0.08559611
A11FN56JARVENV,lulu,5,4.2,1.3038404810405295,2.0,5.0,107.2,90.40575202939247,22,242,5,1.0,picture sweater long cute enough see cozy get barly longer top hips bad flowing like,FUNOC,1,"['black', 'white']","['medium', 's', 'small']",2,3,"[ 0.25302896 -0.11876414  0.12377293 -0.12070884 -0.00618217 -0.10636704
  0.05747035 -0.05174258  0.0991197  -0.00611499 -0.10249045  0.12559575
  0.02984161 -0.05144347  0.10349376  0.09476163  0.09847005  0.04045159
  0.05061124 -0.00158626  0.02995871  0.0431099  -0.04464325 -0.02421562
  0.03368198  0.02949804 -0.06639156 -0.01149927  0.0149839   0.00270433
 -0.01401533 -0.00788353  0.05909557  0.02122749  0.03480374  0.02667801
  0.03472881  0.06542958  0.06731682  0.01595286  0.03495928 -0.00181463
  0.01905994  0.01285697  0.0322978   0.00638036 -0.03787823  0.00587862
 -0.01192723 -0.04028934 -0.04504162 -0.04525736 -0.04273975 -0.00482274
  0.03479385  0.00270386 -0.0038899  -0.00261839  0.02225775  0.00126953
  0.01981032  0.00874279  0.01059531  0.04632559]",13,black,medium,5,1.0271116,0.06424785,-0.21350195
A11GLZLVAUD354,Cecilia Luis,6,4.333333333333333,1.632993161855452,1.0,5.0,37.66666666666666,45.75004553731796,10,130,6,1.0,love quality good dress looks great surprising price paid pleased best looking wedding ever look,Polovi,2,"['beige', 'white', 'red']","['s', 'small']",3,2,"[-0.04840381 -0.15726748  0.16265729  0.13887994 -0.0188913   0.20089582
 -0.08469608  0.00998077  0.00619692 -0.06555241 -0.04998067 -0.04922508
  0.03434808 -0.00426227  0.02221725 -0.03964925 -0.05739727  0.01350925
 -0.01160319  0.0059795   0.02555969  0.0344719   0.02740676 -0.06050042
  0.04861648  0.02835768  0.00685613  0.0367333  -0.07842505 -0.03422109
  0.03544463  0.02236982 -0.05564469  0.03946719  0.07819217 -0.06048847
 -0.01681919  0.08908559 -0.03066607 -0.04564588  0.00649141 -0.00485343
  0.00453163 -0.02240012  0.02141247  0.04197    -0.01360249  0.0076476
  0.01161589  0.00251787 -0.03594375 -0.0076994  -0.00608815  0.01881604
 -0.01794379  0.01908406  0.00950545  0.04129807  0.01631621  0.02934874
  0.01038291 -0.0591315  -0.02356648  0.00310766]",14,beige,s,6,0.974871,0.041629273,-0.01547946
A11JLWK8H96AU,Amazon Customer,6,5.0,0.0,5.0,5.0,13.0,0.0,13,13,6,1.0,love,,0,[],"['m', 's', 'l']",0,3,"[-0.45289287 -0.06092014 -0.04938758 -0.08403007 -0.08530877  0.03764871
 -0.03805197 -0.11134032  0.04675993  0.07730205 -0.02599618  0.00980351
  0.00220063  0.02028636  0.00471801  0.02019704  0.02056132  0.03263951
 -0.03319724  0.00160215  0.00068392 -0.02341532  0.00720613 -0.00532777
  0.04301918 -0.00551553 -0.04513118  0.05257174 -0.05274961  0.01532394
 -0.00477721  0.03825384 -0.05466215  0.07195667 -0.05713369  0.012009
 -0.02379069  0.01059988  0.02265405 -0.00532294  0.00868171  0.01449572
 -0.01115549 -0.03224252 -0.05438081 -0.01836632  0.02207354 -0.06053857
  0.0075511  -0.01685256 -0.00952911 -0.06989464 -0.02182556 -0.05166071
 -0.02819773  0.04172025  0.01018481  0.03416309  0.00624606 -0.04669897
  0.00688301  0.03860579  0.01821005 -0.01903088]",15,unknown,m,6,1.3204429,-0.021681754,0.11622436
A11MASMYR7CXH1,simplycheryl1,10,4.4,1.07496769977314,2.0,5.0,21.2,27.70399088779649,4,98,10,1.0,good top nice beautiful quality true size fit short fits like crop you midget wear,JISEN,1,"['blue', 'white', 'yellow']","['s', 'l', 'xx-large']",3,3,"[-0.17723592 -0.21589722  0.20521393  0.12877539 -0.05882499  0.02275792
  0.07281362  0.12860201 -0.05403416  0.00607217  0.00616823  0.00972181
  0.0377487   0.04004946 -0.03869607  0.00653823  0.07731463 -0.00168999
 -0.01153542 -0.06491215 -0.00119528  0.00650088 -0.05367702  0.05365612
 -0.04099975  0.01372834 -0.01573515 -0.00773277  0.05509847  0.00471682
  0.01905901 -0.00452152  0.02413207 -0.00746181  0.06904136  0.04169596
 -0.00637512 -0.03993314 -0.03146836  0.01170582 -0.00558926 -0.01889162
  0.01113011  0.01279161  0.02818646  0.00873401 -0.00967177  0.0045654
  0.0219968  -0.00983909  0.04082316  0.00614271  0.02247652  0.03872263
 -0.0182222  -0.0334423  -0.02926344 -0.00980125  0.02364612 -0.00371992
 -0.02308526  0.00211708  0.01293185 -0.01606399]",16,blue,s,10,0.99849284,0.109591395,0.30660197
A11QLAEZD0YY7A,LilBit1969,7,5.0,0.0,5.0,5.0,15.571428571428571,12.272695205986649,8,34,6,0.8571428571428571,sparkly bit heavy purse rocks love gorgeous pretty,Texas West,3,"['pink', 'black', 'brown', 'red', 'silver']",['s'],5,1,"[-0.09155307 -0.0715642  -0.16474915  0.05411097 -0.12174535 -0.03189666
 -0.13439666  0.01192102  0.13502054  0.03262148  0.2610117   0.15931006
 -0.05706722  0.06237458  0.13601185 -0.10489156  0.08803052  0.10554249
  0.06777906 -0.00251653 -0.06683084 -0.00663884  0.0576648  -0.13578427
 -0.02163728 -0.04302568 -0.13243718  0.07934431 -0.09880497 -0.0826776
 -0.05821721  0.02085358  0.0055987   0.08265279  0.06555283  0.00700005
  0.01427952 -0.00620273 -0.15775777  0.05286402  0.02381323 -0.01293624
  0.00480531 -0.01402188 -0.01130161  0.07553389 -0.01046409  0.01652031
 -0.08139076 -0.01105538  0.06346881 -0.09853517 -0.03736657 -0.04144393
  0.02313522  0.01533007 -0.0409258   0.0259824   0.00257401 -0.01276044
  0.00111811 -0.00963631  0.00050025  0.03281131]",17,pink,s,7,1.0299249,-0.35552618,-0.34095764
A120I5ZY3CWKX9,Cheryl L. Lovell,5,4.8,0.4472135954999578,4.0,5.0,71.4,89.06626746417523,11,229,5,1.0,power love great bracelet received mississippi state bracelets today problem post office hope bulldogs orange,Brisco Brands,1,"['brown', 'maroon', 'silver', 'white']",['small'],4,1,"[ 3.23195547e-01  3.71773951e-02 -4.73858237e-01  1.26929760e-01
 -8.09751153e-02 -1.51140913e-01 -1.08913377e-01 -2.25267783e-02
  7.52717704e-02  4.53562140e-02  5.19248983e-03 -1.32804662e-01
  3.64649929e-02 -2.97867437e-03 -4.80098240e-02  3.44483592e-02
  3.49798910e-02  1.03410855e-01  5.03794104e-02  4.54106256e-02
 -7.59474654e-03  2.98775500e-04 -3.75790591e-03  1.14770412e-01
  5.09113185e-02 -8.98777544e-02  5.89202307e-02  1.49430498e-01
  3.98665033e-02 -9.18472633e-02 -1.43231601e-01 -6.82149231e-02
  9.50314179e-02  2.59855725e-02 -2.26051211e-02 -4.45891023e-02
  7.49981776e-02  5.44143189e-03 -2.14856379e-02  9.07257199e-02
 -7.06392061e-03  2.13744249e-02 -1.21600479e-01 -3.47355101e-03
  2.48919055e-02  7.52146989e-02 -1.59792826e-02 -1.08268507e-01
  7.69840702e-02 -6.16529898e-04 -2.60608215e-02 -3.24751325e-02
  3.08762752e-02  1.84929334e-02  5.87720312e-02  3.53539810e-02
 -2.21258663e-02  4.48356457e-02 -8.75230953e-02  9.26238596e-02
 -5.38810976e-02  7.19151348e-02 -4.46286984e-02  2.76002139e-02]",18,brown,small,5,1.0126176,-0.3187568,0.0022789193
A1223JGQ0GRSPT,CStaples,6,5.0,0.0,5.0,5.0,76.0,0.0,76,76,6,1.0,super light weight comfortable kick box run good support,,0,[],"['m', 's', 'l']",0,3,"[ 1.6959637e-02  3.2413059e-01  5.2199420e-03 -9.8442696e-02
 -1.2000833e-02 -9.9776527e-03  1.1645877e-02  2.0542653e-02
 -1.2923288e-01  5.4830011e-02 -3.1418141e-02  1.7961536e-02
  7.7261209e-02  5.8363769e-02  1.6912546e-02  4.0629417e-02
  1.5487476e-03  2.5933467e-02  1.0078812e-02 -3.3901611e-03
 -7.3565073e-02  5.7570953e-02 -5.0788689e-03 -3.5516855e-03
 -2.5373986e-03  3.8415452e-03 -2.2157307e-03  4.9249507e-02
 -2.9494543e-02 -2.2552684e-03  9.9041894e-02 -2.8839257e-05
  3.2151632e-02 -5.5611972e-02  7.9786386e-03  6.9844604e-02
 -2.8098766e-02  8.3490528e-02 -2.0954104e-02 -5.3136937e-02
 -2.5067879e-02 -1.1317824e-03  2.3323026e-02 -1.1754114e-02
 -6.0241986e-02  4.9549420e-03 -5.1761728e-02 -4.3838438e-02
  3.3081338e-02 -1.0185227e-02  6.6039369e-02  1.3521645e-03
 -1.8368883e-02 -8.9938920e-03  2.8712442e-02 -1.7488992e-02
 -5.2269481e-02 -4.8605453e-02  1.3774677e-02  7.2412356e-03
 -3.4385744e-02 -2.1466777e-02  1.7513881e-03 -3.7155738e-03]",19,unknown,m,6,1.3246169,-0.046718005,0.109540865
A122ULM3MEHFW7,Danielle Chavez,7,5.0,0.0,5.0,5.0,179.57142857142858,43.215958251773706,115,232,7,1.0,earrings love you buy recommend cute ears fake real sensitive great people wear really got,JewelryVolt,1,"['black', 'gold']",['s'],2,1,"[ 0.26134992  0.02587162 -0.40692046  0.03389153 -0.0567866  -0.02529764
 -0.03121468 -0.01296203 -0.04066407  0.17050217 -0.19457737 -0.21908031
 -0.11279116 -0.09811613  0.05462793 -0.09174529  0.06583645  0.00560765
  0.00613896 -0.09778185 -0.14394814 -0.10919248  0.09864552  0.01700205
 -0.01190931  0.0552958  -0.00926054  0.0317677   0.0571466   0.11166178
  0.17446226  0.01031131  0.00635379  0.06095072 -0.02323833  0.0573643
 -0.01340004 -0.03381296  0.0376882   0.03009979  0.0071719   0.007193
 -0.05590949 -0.09149355  0.01341376 -0.01962306  0.00735952  0.00057619
 -0.02982442  0.02572511 -0.0184415   0.01943466 -0.00422609 -0.03059275
  0.01202684 -0.0842292   0.0041406  -0.02034201 -0.05789677 -0.0146341
  0.04385595 -0.03665381  0.02159435  0.04400042]",20,black,s,7,0.97533816,-0.29561564,0.28286096
