user_id,train,test
A1223JGQ0GRSPT,B001IKJOLW|B0058YEJ5K|B0014F7B98|B009MA34NY|B0092UF54A|B005AGO4LU,B010RRWKT4|B014IBJKNO
A122ULM3MEHFW7,B0040HKZ8Q|B006E9MYE6|B006E9MZZY|B006E9MZFE|B006E9P6LY|B006E9MY4Q|B006E9QKD2,B006E9R98W|B00IGAODHM
A12A7Q3DHAI6AY,B00MQAZZIY|B00M6SF50Y|B00PFNKKFM|B009QU9MVS|B00JN1JMWY|B00J7OTX12,B010SEWQHC|B0183R3508
A12FBA7DCFE5W7,B001IKJOLW|B0058YEJ5K|B0014F7B98|B009MA34NY|B0092UF54A|B005AGO4LU,B010RRWKT4|B014IBJKNO
A12I8GCK1UVK40,B016KKRH4A|B01741HFC8|B01C1AL1WM|B01CN5MYDA|B01DKAGRGC|B01EJFKZVK,B01COL1A74|B01EOJK0YI
A12LDKOWDBPQTC,B001IKJOLW|B0058YEJ5K|B0014F7B98|B009MA34NY|B0092UF54A|B005AGO4LU,B010RRWKT4|B014IBJKNO
A12VRR4LXJDHBV,B00PJIPF7Q|B00PJIV2PK|B00PJISVUE|B00LMU7WUI|B00OCA5DWY,B00OCA5BQW|B00PJIPITG
A135KOM855ZA5,B001IKJOLW|B0058YEJ5K|B0014F7B98|B009MA34NY|B0092UF54A|B005AGO4LU,B010RRWKT4|B014IBJKNO
A135SGOQMVWABQ,B010RRWKT4|B014IBJKNO|B0058YEJ5K|B0014F7B98|B009MA34NY,B0092UF54A|B005AGO4LU
A13FLOD16ZC3N4,B00FG35RU4|B00KREP1HQ|B00YEMDRQE|B013JT4E9G|B00KW4L9XQ,B011QXRBWO|B013JT4EXC
A13JGYKUU10QKH,B001IKJOLW|B0058YEJ5K|B0014F7B98|B009MA34NY|B0092UF54A|B005AGO4LU,B010RRWKT4|B014IBJKNO
A13MGIUEHNSOKO,B00ASLJXMC|B00HF4N2UO|B00NFR7UNK|B015CO7F74|B010497OZ0|B0170TKYOK,B01G50EPWC|B01G50F0WQ
A13P82MG3XFWV1,B001IKJOLW|B0058YEJ5K|B0014F7B98|B009MA34NY|B0092UF54A|B005AGO4LU|B010RRWKT4,B014IBJKNO|B015UIV87U
A13VRMJVAGIHLL,B00NKQUSLW|B00LEEQLC2|B00ZOXFI1E|B01CFGL6WM|B01D9JBR78,B01DKEM7E4|B00FDWYT6G
A13W5DGU9QF721,B001IKJOLW|B0058YEJ5K|B0014F7B98|B009MA34NY|B0092UF54A|B005AGO4LU,B010RRWKT4|B014IBJKNO
A13YHX8QAM9SXX,B018LRPH56|B0156A12P0|B01AVNMQYS|B01AY2526U|B01CNLNH2G,B01D4ENVRW|B00ZUA6AJK
A140XVPLRQYKYY,B001IKJOLW|B0058YEJ5K|B0014F7B98|B009MA34NY|B0092UF54A|B005AGO4LU,B010RRWKT4|B014IBJKNO
A1433KWQ24IOU5,B017LZ56JG|B017LZ57YA|B017LZ4YOE|B017LZ47QO|B017LZ4PJ8|B018E6PC9K,B01DF27LDI|B00JB0Y9MK
A146PPPJJABH6L,B00CMSSZGE|B00HIBCPUM|B00E6KBPCM|B00GN7XZNS|B00J2L4EVY,B00E9LRNE2|B00HD0GS92
A14A94TSHBLUN0,B00LURYJRM|B01238B5HS|B019SXT19K|B015GOM97G|B01GYPEYZQ,B0097AJS2U|B0154PRE0E
A14IDXVRKZ81H6,B00B0QLYVC|B00J5A7ZJK|B00LGCDKT4|B00LMI9EAQ|B00WZZLJBW,B00E0JPVH4|B00NTY1TA4
A14IVFLENLR9XK,B0140XRJNS|B0173DCUA4|B00KWMZFVU|B00VJ66T5O|B00WG6MGFS|B010FH92RO,B00RL0UT4Y|B0185DFW56
A14LN0R1PQA5WI,B001IKJOLW|B0058YEJ5K|B0014F7B98|B009MA34NY|B0092UF54A|B005AGO4LU,B010RRWKT4|B014IBJKNO
A14LVJDMDABMML,B001IKJOLW|B0058YEJ5K|B0014F7B98|B009MA34NY|B0092UF54A|B005AGO4LU,B010RRWKT4|B014IBJKNO
A14NH559TEDFQL,B001IKJOLW|B0058YEJ5K|B0014F7B98|B009MA34NY|B0092UF54A|B005AGO4LU,B010RRWKT4|B014IBJKNO
A14TS9PCRLLWEG,B001IKJOLW|B0058YEJ5K|B0014F7B98|B009MA34NY|B0092UF54A|B005AGO4LU,B010RRWKT4|B014IBJKNO
A14UDTXL354W07,B00X4MVDNY|B017LFRZRC|B01BHC0YPU|B012JT527U|B00QLF3IO8,B00PSM5ENS|B01417YFOO
A14V45OKTF6U6Q,B00E1LAO1O|B00EK7ZDQU|B009ESB9SQ|B00HVXXIR6|B01G6IRBEW,B01HD5VI8W|B011YB6EVC
A14Y2XQBJFB240,B006VA07FG|B008AEEEU0|B00AIIQJP4|B00E96Y7G4|B00J2L4EVY|B007WATHQO|B00J4IC778,B00E0JPUSE|B00JZGNE6W
A14Z4E4FAZ9S88,B01C41AAQ6|B01CVL3TUS|B01FQWN72O|B01H1HC0HA|B01FXEHODI,B00ZOZLGHC|B01GFRM28E
A159IR0ZIDS388,B01GK6Y47M|B01H2TO6MY|B01EPU0OWE|B00XDUXKQA|B01HC7565W|B00WVZP4PS|B01F6MVRBC|B01G76UNC0|B014QFAFS6|B01F3CAQ9E,B01H9YLXXW|B01DWL3K4Q|B00WO4103Q
A159WZ8A42TBZN,B00KA3WMJY|B00KYJUETE|B00IOBLTO8|B00JITC73C|B00KA3VO3O|B00J2S41UG|B00NPX52ZC,B00IZ4I1C2|B00MNGNF9W
A15DWAOMHKY7F2,B001IKJOLW|B0058YEJ5K|B0014F7B98|B009MA34NY|B0092UF54A|B005AGO4LU,B010RRWKT4|B014IBJKNO
A15K26YABYLPYY,B00KYW5NHO|B00VJZDC8W|B00WM6SC5K|B016TAT8LQ|B00PJIMV2S,B01D38YQSC|B010RGY55M
A15M9W51HMZPH5,B00YETA26A|B00WNSAYW6|B018FCFDTW|B01EKNMV1S|B01AYV1WCO,B006V09DZQ|B006V09GCG
A15PB5QABNV5NO,B00QH2QRAW|B00OD4H4EO|B00JIHL2A8|B00SKX1KL2|B017D6UHRO,B016RRTOUG|B00SF61OMY
A15VIPFO0VXPTL,B00SI020DE|B00N49JICA|B01EUPG9G4|B01EU2YXQU|B01EXAVD3K|B01H7N6240|B01H00XWJI,B019C2W5D6|B01GUAGRFK
A16138OVE7AFAP,B014S8BD32|B01EFMDSF2|B012Z9PGDY|B01BY46PQI|B01CJO0WYI,B01E5GZBJE|B01C6X51LG
A162UMP95EYQ22,B00N2Q7BPQ|B00Y7S060U|B00XVWTG7M|B01BEOYDLC|B00FLYTDVM,B0183JQHCO|B01FR40QGQ
A163UW8X5LYDIM,B000K2PJ4K|B00NNFHF3O|B00PI3HEAS|B00LSEFVCO|B00CJQGO2G|B00WM9LIIA,B010X9NZ6I|B015FM7W2G|B00W6ZN2FW
A164VQU1Y5WHW0,B0186FN4FI|B00VC8IVDC|B00V3Q9KO2|B014KTZTO8|B0156MPG46,B01A8HSQ6E|B01686LMVA
A165P3MOJV3OVZ,B00KMR6T5Q|B00KNVVRE4|B00G1TALDU|B0097B5XV4|B00B0QC772,B00M49HTFE|B015TNQCLS
A165SYOB7XFA9B,B00GO4JTDK|B00JLHYVBW|B00W035VCC|B015MMA1HW|B016BMQ6D0|B015H40F4E|B0069TZ416,B01E6U9F6Y|B01B2R7PES|B01FMI3NHG
A16BGUHQH20CIP,B001IKJOLW|B0058YEJ5K|B0014F7B98|B009MA34NY|B0092UF54A|B005AGO4LU,B010RRWKT4|B014IBJKNO
A16N4XZ8IHC7I0,B009PMILQE|B00E0KZDAS|B00FGVK9B8|B0094GA5G0|B00HAX0WD0|B00E1LAO1O|B00GLQAJN0,B00OCA59LY|B00I0VHS10
A16QST8AO6TXX3,B00E1ALO6E|B00ESZOJQE|B008P5ZN7C|B00V5XDA6M|B00KXR6UHW|B00ZH0HXCQ|B007JEZX0M|B01429W0AC|B00SY2WN0G|B0151GK6XS,B01F398YKK|B00VE8LN30|B01HH3WJVA
A16TCDQL2C5NGY,B01B2R7NW2|B01686LMVA|B011HNWNT4|B00WWQNHN2|B00ID20OE4,B00SB0NNXM|B01DELGUTG
A16UVYX457F0W3,B00QN40Y26|B00SGM1PWG|B013OUVW40|B00OPTJQ2A|B00M09UE8C|B00Y3KKMVU,B01201P2GS|B01201TITA
A16Y7V1CZCWKFV,B00XZYPWZ6|B00SI5DGNW|B00OXZF7R4|B00VH8FWDE|B00Z9WZGVC,B01DP6XIZ4|B014GMD036
A1717EM2Z6CBVQ,B00G62BWBC|B00PAQDONE|B00LXA8OXG|B00BB1XH4S|B00PXWA884|B010SGA0CI,B016ICD5LO|B014F24YJ6
A1741M74ULAT82,B01ABMMQQM|B00V86VV4O|B01CGC6XVO|B000NBIMG0|B00Y8527YU,B01FK7ET4U|B01G37YJUA
A174EEWMHB3J8N,B001IKJOLW|B0058YEJ5K|B0014F7B98|B009MA34NY|B0092UF54A|B005AGO4LU,B010RRWKT4|B014IBJKNO
A177TVY619GITB,B00LMUPBQA|B00NUVQ974|B00PRZ4CRK|B00BIESO9Q|B00FXQMGF8,B0073JMK9K|B017J31DMO
A177WB7O660HS8,B001IKJOLW|B0058YEJ5K|B0014F7B98|B009MA34NY|B0092UF54A|B005AGO4LU,B010RRWKT4|B014IBJKNO
A17DW041T4X7TJ,B001IKJOLW|B0058YEJ5K|B0014F7B98|B009MA34NY|B0092UF54A|B005AGO4LU,B010RRWKT4|B014IBJKNO
A17IZ3IVXU2SFG,B014QF7JZS|B009ERSRDM|B014KLPCBQ|B0179IYP4C|B017I3YJGW|B0174LC87K|B0196H6UGU,B017NGTJSW|B00PIFQU0G
A17JBZR32TQ0Q5,B00KA3ROE2|B00KT1267K|B00KW4KR66|B00K6X6RM6|B00KXR6UHW,B007KX3WQE|B00ECTOH4A
A17JPFHBEDUD92,B00KA3V9JS|B00KREP1HQ|B00KW4KR66|B0151WBLYA|B00MIMOVB2|B00KA3R3M0,B00LMU7GHM|B00KA3VEG6
A17SQ5GHL7FCTZ,B001IKJOLW|B0058YEJ5K|B0014F7B98|B009MA34NY|B0092UF54A|B005AGO4LU,B010RRWKT4|B014IBJKNO
A17YLTAUS8T0SP,B00CSEX0X0|B00N8NP9V6|B00N1WSXUI|B00IWFO902|B00LI3712S|B00FR851C2|B00JD41O6I,B00GLR3ZHG|B00HFKN2IU|B009ERUBKE
A184AKBVD3WI86,B001IKJOLW|B0058YEJ5K|B0014F7B98|B009MA34NY|B0092UF54A|B005AGO4LU,B010RRWKT4|B014IBJKNO
A18530DRJJ0QAF,B001IKJOLW|B0058YEJ5K|B0014F7B98|B009MA34NY|B0092UF54A|B005AGO4LU,B010RRWKT4|B014IBJKNO
A1880JK226QNP0,B004HX6P1E|B00MLUOBN4|B00PBVVHO6|B00XUNAJ5U|B012N4JPYW,B00LL1JH7O|B00OI2EGHY
A18H3FQYX8C0HY,B00KA3VO3O|B00S99PCSE|B00KA3V9JS|B00KA3VEG6|B00KREP1HQ,B00LMU7GHM|B011ISH622
A18NDEH7WI0NTY,B00KYH9TFG|B00PGV2G5A|B00TGV87T0|B00NV1SIOK|B00SM4YF34,B00Y1YDKYO|B01G3CDNAM
A18PSPZ9YP694,B00KA3WMJY|B00OCA7CQY|B00KA3QT8Y|B00OCA59LY|B016U2Y8IQ|B00MIMN62C,B00QY2EKHW|B00OB8WNCA
A18S2KRL0VCM2Q,B00F13RJ64|B0094FZU3E|B00HUH8LP2|B00AW80PPU|B00JUETMQU|B00JZGNEXK|B00KZIQZRO|B00MBQ48BS|B00BNB3A0W|B00L50MW96,B00PDK9IR8|B00ZOXFI1E|B014QV11I8
A199ICSPL9EXJ5,B001IKJOLW|B0058YEJ5K|B0014F7B98|B009MA34NY|B0092UF54A|B005AGO4LU,B010RRWKT4|B014IBJKNO
A19DHGTOB8333E,B00M2URMK2|B00L4JJTNA|B00P7RYTUS|B00QY7B6Z6|B00KYH9ROE|B00TFNG2UA|B00LO9DZ30,B00RTD87W4|B00S2DET7C|B01GC428MA
A19GSPMATJEG8G,B01C9WG10O|B01B7MW520|B00XXSX684|B01D8HRBEO|B01BTPPS4M|B01GNOCG9E,B015O9O304|B01H94WRCS
A19K918W5OWTXQ,B00B30HIT2|B00GLQAJN0|B00NBX1YVM|B00P3JYO64|B00QH2QRAW,B00J8OOKCS|B00J8OOM5S
A19PH0ZZX3H5PJ,B00LJJQ21M|B00WMCIZKG|B00SB3DE7Y|B00IHPLI92|B00KREOWWG,B00N5FI82E|B00XU7YOVQ
A19TN7UDB5JNHE,B0096KVKS6|B00BBR1PYG|B00CKN7PYE|B00CMSSZGE|B00E1L87YK,B007WAU2OK|B00CMSSZGE
A19ZFU1CDFTWKG,B01FQ8CP6C|B00U8DBBWU|B01FTIV25E|B01DRRVV32|B01DLXA6A6,B01EHA2Y0M|B01CXZXYWU
A1A3G9EIZ63NQP,B004CLIDBQ|B009046U2Y|B000YFSR5G|B000YFSR4W,B000YFSR4W|B00U5QQCI8
A1A8RABZPTD7HL,B009MA34NY|B0092UF54A|B005AGO4LU|B010RRWKT4|B014IBJKNO|B001IKJOLW,B0058YEJ5K|B0014F7B98
A1AHIS29D50G9D,B0097B5XV4|B00O9T3TKQ|B00CQNT23A|B00X69GNV2|B00OKAENXQ|B00W035XJI|B00JZBOUZQ,B00UNHPW9E|B01CXXG2LW|B01CFG0A24
A1AL9KWL6ZISSJ,B00PF593QW|B010CKYAVM|B010CLK97K|B00PF5A7YE|B00PXDQDX2|B00UDF11O6,B014K8Z9P8|B01DEI0MOI
A1AOW4VH0ZZY4R,B00JULT9ZC|B00CJQGP3O|B00GN7Y0JG|B00J2PIX80|B00FHL1GZU|B00ME7WXUW|B00ET04IKK,B00PGY4I2G|B00J7QIO7O|B0114DR1VM
A1AS1520CGYJ79,B001IKJOLW|B0058YEJ5K|B0014F7B98|B009MA34NY|B0092UF54A|B005AGO4LU,B010RRWKT4|B014IBJKNO
A1ASBF2KK7X6BW,B00KXR6UHW|B00KW4LIJQ|B00LMU8MFM|B00GOQ3XKI|B00LL20G5U|B00BZKMKTI|B011KQD004|B00V4JRFF4|B017D8LVM2|B00KA3W7IK,B01EFIXU54|B00QKAH1P6|B01EHKQJLM
A1AUEUD7NP1LUC,B01DQC7UI8|B01FFN6OEM|B001IKJOLW|B0058YEJ5K|B0014F7B98|B009MA34NY|B0092UF54A,B005AGO4LU|B010RRWKT4|B014IBJKNO
A1AWX0M8R6A2I1,B001IKJOLW|B0058YEJ5K|B0014F7B98|B009MA34NY|B0092UF54A|B005AGO4LU,B010RRWKT4|B014IBJKNO
A1AYBSMKE568JO,B016CU3DFA|B0193WSP8Y|B014QTJ0WE|B01G43F6I2|B014GLZPU8,B00QXT5AAW|B015C7QJ4G
A1B0Q4YP3RZV4U,B00K722JPK|B00K74LGPW|B00K74GWAG|B00W8RO2HK|B0175YMOT8|B01GA4NV3W,B015CT2X7G|B01DIWH0V8
A1B12H6FQ94PET,B00PJIR7M2|B00PJIQ2P0|B00Y2E23NW|B00VROE64E|B00KREOWWG|B00KREP1HQ|B00LL20G5U,B00KA3WMJY|B0172SWE3I|B00LMU9LIE
A1B3W4RSJ1CJEO,B001IKJOLW|B0058YEJ5K|B0014F7B98|B009MA34NY|B0092UF54A|B005AGO4LU,B010RRWKT4|B014IBJKNO
A1B453O97LURDL,B00QAFTA2S|B011TR5FMU|B011TR5WAU|B01966V7O6|B01967H65O|B019689ET4|B01CVIW0K6,B01CVIVY4O|B019689IPY
A1B8US60MAG8N4,B00PJMM6JC|B007HYZQZQ|B00EK558EE|B00NX76X4O|B00K1KZ4XW|B00PIFQTTI|B00G62BW80|B00JE8788G|B017D6UG1Q|B00VWW5HIA|B019JQJN5S,B019JQJTS4|B01DRRVV32|B00W5RY85O|B00IABPZ6U
A1BBQ0OVHUAVS2,B00IM8T6WK|B01FO04LGE|B017TTM6P6|B00SBX5JFO|B015H2VTH8|B00G70RORY|B011KXGTS2|B011KXH7HE,B0162SHLZK|B01C3XGV3Q|B00URXDJXU
A1BCEK7ECLV93W,B00IE0ZNVE|B00S4QPXFE|B017U0KAWU|B01870K6NA|B01DF6UTZG,B01C417I1Q|B0030MC9EA
A1BEG36T44ET0D,B00GY0YUI8|B0123DVXS4|B01E375TOC|B00YC1X41K|B01CNXXNVY|B01D53TSNS,B00WJBXP4Q|B019Q8YBKG
A1BGH69DH07M72,B00E0L184M|B00VWF0GQA|B0111HWJJA|B019IUOEI6|B01GWJZ7J6,B01595QXFG|B017O8D40S
A1BN6I0B2OF7WB,B001IKJOLW|B0058YEJ5K|B0014F7B98|B009MA34NY|B0092UF54A|B005AGO4LU,B010RRWKT4|B014IBJKNO
A1BU5W1YDUJ02B,B00OKKWVF8|B00L9AAW0S|B00MYLXAZU|B00PISHIZY|B00ORM15Y2|B015M8A7RK|B00XJDNA7K,B00DPGQNR0|B007WA3GMK|B00M2QQURM
A1C1UK1VCQ6ZLU,B01FQ9TOUG|B00MLYE8PQ|B00GBUUS46|B00LMU9NE6|B01EWK0ZZS|B00KA3ROE2|B01EWMCIN8|B01E8XNEWK|B01461JSG0|B01H6Y2KDW,B01GDN0YL2|B01D4JW0TC|B01EA6ZX9W|B01D2SSEUE
A1C2OAGOVQ8SD2,B00D44IVZA|B00G874L2W|B00NQVXCE6|B014M9AETG|B00FXW7ZZS,B00SH9BD0W|B00UDF11O6
A1C6TSB91Z5GPF,B01DKEM910|B00T8WZ4NE|B0167X413U|B018VIPFTS|B01BIAMN3M,B01D44IYPG|B01DOZJORM
A1CB9NHXLYHXV8,B00KREOWWG|B00LMU8WSE|B00JXME5AC|B00D77WDB2|B00GN7Y0JG,B00G6BV8OO|B00WACNXP0
A1CEIO7D51NQGE,B00YWUMGUG|B019C9I1X2|B01C2W20EW|B01EAFS1M4|B0165AQ70A,B00W8CXJZG|B0127LO20I
A1CG3CX6AADO0D,B013RZ6VWU|B016D9FVLE|B018CTQS3S|B00ABA064O|B01AHD2NQS|B01DHR9742|B01EY3HM7C|B01C2OA4L6,B01CJA1AZ2|B01E8HLCPC|B01HGIDX5M
A1CIQ2ULKB933A,B001IKJOLW|B0058YEJ5K|B0014F7B98|B009MA34NY|B0092UF54A|B005AGO4LU,B010RRWKT4|B014IBJKNO
A1CJ6O1X765F7N,B00TXSMBRA|B00ZVQHCWC|B00U4C4T7Y|B016Y3ACP4|B00DIU8R0O|B011HVER9A,B01FW1753Q|B00DN8U952
A1CKPC88NHMYGR,B001IKJOLW|B0058YEJ5K|B0014F7B98|B009MA34NY|B0092UF54A|B005AGO4LU,B010RRWKT4|B014IBJKNO
A1COJ8DR51JJUR,B00KYJUETE|B00Y1VE7EO|B00Y1VEA96|B00MVRDOZ8|B00KVUGKI0|B00OCA59LY|B00V9PEJEI|B00PJISVUE|B00LMU8EHI,B00KSZSTP0|B00Y1VE8ZM|B00Y1VE5Y6
A1CS223MR7KV0I,B01AS6S6NS|B010FJ0QX6|B00ZOQ4LIC|B019HKEZQI|B01CG2PE28,B00JE8CBQK|B00XUWLRO8
A1CXH1XZJDSDDX,B00KREP2HK|B00LNCQ2C4|B00KW4L9XQ|B00LMU8VX0|B00LMUA8MC|B00LMUA6C4|B00LMU7WUI,B00MIMOVB2|B00FAD21NQ|B00Y3KKMVU
A1D92XO0V4XQJR,B00KOGZZZU|B00WLJW9NE|B00GN7SB50|B00VQJRJ8A|B0142EOXKW,B017X9JRJU|B01GPNOQIW
A1DC4YD1BWLXBF,B00SI0BFGW|B010S6K69K|B01AYV1WCO|B00IOBLTO8|B01AZM3IS8,B000P0X15G|B00201ER88
A1DF4MM3K93J0W,B001IKJOLW|B0058YEJ5K|B0014F7B98|B009MA34NY|B0092UF54A|B005AGO4LU|B010RRWKT4,B014IBJKNO|B01ESBBWQ2
A1DGQ5NB1AGGZ2,B00KE115Q8|B00GOQ3YWA|B00K6X6RM6|B00KXR6UHW|B00PU050Z0|B00LXA7XTC|B00KBMDCNO|B00L3BBPPO|B00T2NGMW6|B00KA3VO3O,B00KW4LCCE|B00PJIPZGW|B00KA3R3M0|B00LXA86UM
A1DGWT1Q1TEGEH,B00DN6HZI8|B00IIIIDHI|B00K86MMPW|B00K34QQ42|B00MQS81AA|B00VKXX4GI|B013SY93GQ|B016CVHTZ4,B00ZUA6AJK|B01AHXVJRW
A1DJ9ZJH1RKQIE,B016HL8SVI|B013QH7R0O|B017X8I4IQ|B01EUFORG8|B013ULLMZW|B013ULNDG8,B01E9SFSXW|B01H6P02VS
A1DVOBTTQCEUGF,B003M6060S|B00FAPRKQ2|B017TVJU4E|B01870ZJ8M|B01HE43R68,B019QAZH2K|B00LX1301Q
A1DX2WRQ2ZHAEK,B001IKJOLW|B0058YEJ5K|B0014F7B98|B009MA34NY|B0092UF54A|B005AGO4LU,B010RRWKT4|B014IBJKNO
A1DY64T6VYWK4S,B00BNB3A0W|B00FLXMST2|B00WFYEEVA|B00KA3WMJY|B013Y6OON0|B00GBVH48S|B00KA3VO3O,B00DPGQNR0|B00RU47G2O|B0160PM7NQ
A1E0TWNG0UR81D,B00HF4N2UO|B00DN11OPS|B00IOF5M4W|B012S6M0E2|B0140J354Y|B01658BQVM,B018BBC2W8|B00FLONJQ2
A1E45W66ALHA0Z,B00FPILL0A|B00JW7VACE|B00NNLBT94|B00WNT25W2|B014LLUN9Q|B0188ZAHEW,B00VTYOB88|B00G40GWNE
A1E4Y7BABMEA03,B001IKJOLW|B0058YEJ5K|B0014F7B98|B009MA34NY|B0092UF54A|B005AGO4LU,B010RRWKT4|B014IBJKNO
A1E7C4BELBFLRW,B00NHF7KKS|B00N9RFZ06|B00TH5PEQY|B00O8SEZEM|B00U3MTX8U|B00LHPNQ0I,B019C2W5D6|B00JXLYOBS
A1EE1EP2G0HKQ,B001IKJOLW|B0058YEJ5K|B0014F7B98|B009MA34NY|B0092UF54A|B005AGO4LU,B010RRWKT4|B014IBJKNO
A1EF7YWCNN7E9K,B001IKJOLW|B0058YEJ5K|B0014F7B98|B009MA34NY|B0092UF54A,B005AGO4LU|B010RRWKT4
A1EPXRQTXMKIBM,B00KV7HTPG|B00H5OHW2S|B00CMSSZGE|B00QRTOD10|B00IE16LR8|B00PAQ9ZR8|B00LMU8LLM|B00S99PCSE|B00QY2EKHW|B017XJSXS6|B0135R1C6A,B011NLHL8S|B01CYHDJD6|B00QLZ3X7U|B00TI059NG
A1EWNWTJPKEO4Z,B01235XGBE|B001IKJOLW|B0058YEJ5K|B0014F7B98|B009MA34NY|B0092UF54A|B005AGO4LU,B010RRWKT4|B014IBJKNO
A1F43W5DW7RGLL,B00K8PJ1HK|B00INCM68Q|B00NHKCQCA|B00PV9XNGI|B018DZ3AAA,B018LPBTJQ|B00ZE8TE9G
A1F6LKEC43RSZM,B001IKJOLW|B0058YEJ5K|B0014F7B98|B009MA34NY|B0092UF54A|B005AGO4LU,B010RRWKT4|B014IBJKNO
A1FBXEKJ4V7NNF,B00PMJR4Z8|B00LFW0TQW|B00ZDUT56W|B016IARXKU|B016S3O0K8,B019PYP70E|B00Y0M66Y8
A1FLJZVGCLWHZ,B012A66OWO|B00S99PCSE|B00VNFTLGA|B00NL5J2Z0|B01B7EA2F0|B019IW36Y2,B017TTM6P6|B01AYR60K2
A1FQAVH5JBSV6A,B011R6S8I6|B001IKJOLW|B0058YEJ5K|B0014F7B98|B009MA34NY|B0092UF54A|B005AGO4LU,B010RRWKT4|B014IBJKNO
A1FTUK5W26BKXP,B011B6VV68|B018W4YUVU|B01E6X4AY8|B018XPJL62|B01FHVT9MG,B01G8VMMLE|B010WGHW8Y
A1FY4RR0LGCJ0Q,B0017U1KBK|B000ER9V68|B00EB1077K|B009EPKKBG|B017SQ8U96|B016NWTSWY|B0152DK2W0,B00YFS31LS|B00KCQ2M8U|B00W6TZLSY
A1G0HYMR02WM2W,B000YFSR5G|B000YFSR4W,B000YFSR5G|B000YFSR4W
A1GJU26YIPMU1I,B00KA3R3M0|B00KA3QT8Y|B00KA3ROE2|B00PJIO5PO|B00SHB4RJ4|B00SH9BD0W,B00V0FO1PO|B01ANF7VJO
A1GQ2TRY8J631M,B001IKJOLW|B0058YEJ5K|B0014F7B98|B009MA34NY|B0092UF54A|B005AGO4LU,B010RRWKT4|B014IBJKNO
